location,duty,sallary,time,name
" 杭州市西湖区文三路259号昌地火炬大厦",岗位职责：1、录入网站站点；2、编写Python初级代码；3、其他领导交给的任务；4、协助完成物联网应用系统开发、算法实现。 任职要求：1.计算机科学、软件工程相关专业；2.了解Java或Python，了解C/C++语 言；3.了解linux系统以及基本的命令；4.了解网络通信技术，了解常用的网络协议；5.了解数据结构，有使用算法解决实际问题经验优先。薪资待遇：1.双休，朝九晚六，五险一金，无责任底薪3500-4500元/月+提成。 2.员工享餐补、健康体检、生日礼物，过节物品等福利。 3.享受法定假期，带薪年假。,"五险一金,定期体检,年终奖金,绩效奖金,补充医疗保险","无工作经验,大专,招5人,04-27发布",python开发工程师（双休+五险）
" 高新软件园4号楼307","赴日程序猿招聘了 年薪（15万人民币到30万人民币） 坐标东京工作内容：1. 利用python语言和机器学习算法完成平台模块的开发2. 算法调优3. 完成部分文档的撰写工作。招聘要求：1、专科以上学历，开发经验不限，有日语N1,N2,N3资格证书的优先。2、会JAVA，Android, IOS, C++, C#，VB.NET，PHP，Ruby，COBOL等任何一种语言即可。薪水待遇：1、应届毕业生，培训机构学生， 税后1万rmb/月以上 2、一年以上开发经验，税后 2万以上rmb/月~4万以上/月 休息日：完全周休2日制+日本国民休假日（星期六、星期日、法定假日休息） ※日本有很多法定节假日 ※5月的黄金周、夏休、年末年初等有连续休假 ※公司每年组织海外旅游工作时间：9：00~18：00（休息时间12：00~13：00）实际工作时间为8小时 ，加班有加班补助","五险一金,定期体检,弹性工作,绩效奖金,年终奖金","无工作经验,大专,招3人,04-27发布",赴日Python开发工程师
" 杭州市滨江区滨安路1190号智汇中心A座1004室",负责内部CRM项目的开发* 任职资格：1. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境；  * 任职资格：1. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境；  2. 熟悉Python网络编程，以及多线程，多进程，协程等并行程序模型； 3. 了解服务端应用程序的研发，有较强的代码debug与问题分析能力；  4. 了解互联网产品和服务的开发过程； 5. 有良好的团队合作意识，善于自主思考，自主学习； 6. 具备较强英文阅读能力和沟通能力，乐于分享。,"五险一金,员工旅游,餐饮补贴,专业培训,定期体检","无工作经验,本科,招1人,04-27发布",Python开发（CRM）
" 文三路508号天苑大厦3楼B座","1、 使用Python语言高质量完成开发任务；2、 负责服务器端系统框架设计、功能开发及维护；可以对自己开发的模块进行简单的运维；3、 负责相关工具开发和相关文档的编写；4、 负责服务器性能的优化，保证服务端稳定安全的运行； 1、计算机相关专业，本科毕业；2、熟练掌握 Python 语言，并且至少学习过一门初等语言（C++/C、Java等）；3、使用过一些主流的 Python 网站框架和类库，熟悉常用库的使用，熟悉Django、tornado、flask等web框架中的一种；4、了解数据库原理，可以对其进行操作，熟悉SQL及NoSQL数据库系统, 熟悉Redis, NoSQL知识掌握运用；5、了解异步架构. 掌握运行多进程, 多线程及协程操作； 6、了解HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局； 7、了解JavaScript、对DOM, Ajax、JSON等有了解；1、熟悉Go Lang2、熟练使用Python及Rust、酷爱Python，并喜欢用Python解决实际问题、有过开源社区代码贡献、经常写博文、经常关注技术社区  3、 有数据库相关使用经验（MangoDB、MySQL等） 4、 有大数据处理经验（使用过Spark等大数据工具）  5、 有云计算服务的实践经验（AWS、阿里云等）  6、了解GIS相关原理                                                                                         7、在团队中熟悉软件工程流程化开发过程，有和其它岗位密切合作的经验","做五休二,周末双休,带薪年假,加班补贴,节日福利,餐饮补贴,五险一金","2年经验,大专,招1人,04-27发布",Python开发工程师
" 杭州市滨江区六和路368号海创基地北楼B3082",,"做五休二,周末双休,弹性工作,带薪年假,五险一金,绩效奖金,节日福利,通讯补贴","1年经验,本科,招1人,04-27发布,英语良好",Python开发工程师-杭州-00067
" 杭州西湖区","1.负责CMDB、持续发布平台、应用系统监控平台的设计与开发工作；2.负责自动化运维平台的设计与开发工作；3.负责自动化运维平台技术的调研；岗位要求：1.本科学历2年以上软件行业工作经验（或专科3年以上软件行业工作经验），并拥有相关运维平台开发经验，对Linux系统和开源技术有强烈的兴趣和爱好。2.熟悉Linux操作系统，了解常用Linux系统参数，对常见的系统性能问题有迅速定位且初步调优的能力；3.有开发运维系统的经验，了解监控系统（如nagios,zabbix,cacti）、Linux下的配置管理工具（如Ansible,Saltstack,Fabric等）；4.拥有Python开发经验，掌握常用的python web 框架, 包括不限于 django,tornado,flask,bottle 等经验者优先。5.熟悉SVN/GIT代码管理流程和规范。6.熟悉RabbitMQ, ActiveMQ为佳；7.工作地点：杭州/上海",,"2年经验,本科,招3人,04-27发布,计算机科学与技术 软件工程",Python开发工程师
" 东信大道66号东方通信科技园（东方通信城）6号楼（新楼）3层杭州复杂美科技",岗位要求：1、本科及以上学历，三年及以上服务器端开发经验，精通一门主流编程语言（如C/C++，Python或go语言）；2、具有分布式系统设计开发经验者优先；3、熟悉数据结构与算法，熟悉常见的NOSQL以及 Mysql；4、熟悉常用NoSQL数据库使用；5、熟悉go语言；6、具有良好的编码风格和团队协作精神；7、良好的逻辑思维、沟通能力，学习能力；8、了解区块链技术；工作地址：杭州滨江区东信大道66号东方通信科技园（东方通信城）6号楼（新楼）3层杭州复杂美科技面试地址：杭州市西湖区文三路90号东部软件园科技大厦6号楼6楼,"五险一金,绩效奖金,股票期权,弹性工作,员工旅游,年终奖金","5-7年经验,本科,招2人,04-27发布",区块链技术开发工程师（go-c++-Python ）
" 科技园路65号杭州服务外包大楼",,"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金","无工作经验,本科,招3人,04-27发布",Python项目经理（五险一金+上市公司）
" 杭州滨江区网商路599号网易大厦",,"五险一金,免费班车,定期体检,包一日三餐","1年经验,本科,招1人,04-27发布",1023Python web开发
" 基金小镇二期甘水巷15号","1、  参与公司量化交易平台的研发和维护2、  参与公司其他产品的相关研发工作；岗位要求：1、  精通python（熟练使用numpy,pandas等工具包） 或C++、JAVA等其他语言（优先Python）；2、  熟悉MSSQL 或MYSQL等主流数据库的开发及调优；3、  熟悉redis, MQ等工具的使用；4、  熟悉多线程、多进程原理及使用；5、  熟悉CentOS或Ubuntu等系统的操作和管理者优先；6、  有大宗商品、固定收益等金融行业相关经验者优先。","周末双休,带薪年假,五险一金,节日福利,高温补贴,餐饮补贴,通讯补贴,绩效奖金","1年经验,本科,招2人,04-27发布",Python开发工程师(量化方向，可接受实习生)
