,location,time,sallary,name,duty
0,重庆-渝北区,3月12日,5-7万/月,中国平安人寿保险股份有限公司重庆...,平安好车/汽车之家专员
1,杭州,3月12日,7-10万/月,杭州长安民生物流有限公司,物流规划专员
2,深圳-南山区,3月12日,5-7万/月,深圳市多迪信息科技有限公司,营销总监-合伙人级别
3,异地招聘,3月12日,5-8万/月,深圳中南置业有限公司,片区总/大项目总
4,上海-浦东新区,3月12日,5-10万/月,恒泰证券股份有限公司上海张杨路证...,金融销售总监
5,上海-闵行区,3月12日,5-7万/月,西藏衣得体信息科技有限公司,副总经理
6,广州,3月12日,300元/小时,广州市白云区和鑫服装厂,急招业余网拍平面模特/日韩美衣
7,上海-浦东新区,3月12日,100万以上/年,上海摩高投资有限公司,投资总监/合伙人（合伙团队）
8,深圳-罗湖区,3月12日,100万以上/年,深圳市中亚艺术品有限公司,收藏艺术品合伙人
9,广州-越秀区,3月12日,10万以上/月,深圳市乐有家控股集团有限公司,年薪百万不是梦
10,上海-普陀区,3月12日,5-10万/月,上海开启房地产投资咨询有限公司,二手房总经理
11,广州,3月12日,60-80万/年,深圳市华阳国际工程设计股份有限公...,结构部总经理
12,南昌-红谷滩新区,3月12日,10万以上/月,中陆企业管理集团有限公司,装饰公司总经理
13,广州-荔湾区,3月12日,7-10万/月,广州博明医疗集团,高薪竞价主管
14,广州-天河区,3月12日,10万以上/月,中国平安人寿保险股份有限公司广州...,高薪诚聘平安合伙人5400工资起步，综合金融大平台
15,上海-杨浦区,3月12日,5-7万/月,电讯盈科 上海,高级销售经理（BSS/OSS/MSS）
16,武汉,3月12日,10万以上/月,广州同鑫科技有限公司,人力资源总监
17,深圳-南山区,3月12日,100万以上/年,世纪投资控股集团（深圳）有限公司,中世纪基金经理（合伙人）
18,郑州,3月12日,5-7万/月,中梁地产新苏区域公司,区域公司常务副总
19,潍坊,3月12日,6-10万/月,北京柯默森机械设备有限公司,产品拓展工程师
20,上海-闵行区,3月12日,350元/小时,上海正培教育科技有限公司,双语计算机老师
21,湖州,3月12日,100万以上/年,浙江中链汽车服务有限公司,湖州地区百万年薪城市合伙人（分公司总经理）
22,异地招聘,3月12日,60-120万/年,浙江省国际交流实业公司,首席技术官
23,广州-天河区,3月12日,7-20万/月,华夏银行股份有限公司广州分行,高级白金信用卡客户经理A
24,宁波,3月12日,5-7万/月,鑫茂荣信财富投资管理（北京）有限...,分公司总经理
25,广州-天河区,3月12日,7-10万/月,中国平安人寿保险股份有限公司广州...,广东部互联网金融销售经理
26,深圳-福田区,3月12日,5-7万/月,珠海赢米资产管理有限公司,机构事业部总经理
27,东莞-南城区,3月12日,60-80万/年,泛华联兴保险销售股份公司东莞分公司,副总经理（省公司经营班子）
28,北京-海淀区,3月12日,10-20万/月,北京明德新民体育文化有限公司,运动科技 专栏频道负责人
29,广州,3月12日,5-7万/月,广州雷音网络科技有限公司,法务总监
30,广州-天河区,3月12日,15-50万/月,广州商君企业管理咨询有限公司,现场管理专家（顾问）
31,异地招聘,3月12日,100万以上/年,杭州士兰集成电路有限公司,总经理（厦门士兰明镓）
32,广州,3月12日,100万以上/年,广州富宏智能科技有限公司,自动售货机合伙人
33,郑州,3月12日,100万以上/年,河南宝恒信息科技有限公司,成本设计事业部总裁
34,宁波-江北区,3月12日,60-80万/年,上海丰树管理有限公司,商场管理副总经理（宁波项目）
35,上海-普陀区,3月12日,80-130万/年,上海千江月地产集团有限公司,文旅开发股份公司总裁/总经理
36,温州,3月12日,6-7万/月,上海海特克液压动力设备有限公司,2018海特克液压校园招聘
37,武汉,3月12日,5-7万/月,武汉乐美医疗美容有限公司,整形医生
38,上海-长宁区,3月12日,60-80万/年,微娃（上海）国际贸易有限公司,市场营销总监
39,东莞,3月12日,60-80万/年,东莞世联地产顾问有限公司,金融业务部总经理
40,上海,3月12日,7-10万/月,上海全通金融谷集团有限公司,融资副总经理
41,异地招聘,3月12日,100万以上/年,海银财富管理有限公司,营销副总裁-深圳/广州
42,广州-天河区,3月12日,60-80万/年,广州斯登诚信信息技术有限公司,运营副总经理-信息安全（销售方向）
43,东莞,3月12日,100-300万/年,东彩塑胶颜料（深圳）有限公司,激励师
44,上海-闵行区,3月12日,9999元/天,圣戈班研发（上海）有限公司,Cementitious materials technician
45,上海-普陀区,3月12日,60-80万/年,徙木金融信息服务（上海）有限公司,融资总监（机构合作总监）
46,武汉,3月12日,65-85万/年,武汉天利阁服饰有限责任公司,区长
47,泉州,3月12日,100万以上/年,泉州君越机电工程有限公司,合伙人
48,滁州,3月12日,5-10万/月,金鹏投资管理有限公司,装配式产业园-----副总
49,深圳-宝安区,3月12日,5-7万/月,深圳亿和环保有限公司,网络推广经理
50,常州,3月12日,100万以上/年,常州云谷物联科技有限公司,招纳专卖店城市合伙人
51,异地招聘,3月12日,60-80万/年,东莞市找大状互联网科技有限公司,招城市代理商，自己开公司做项目其实不难
52,成都-龙泉驿区,3月12日,10万以上/月,成都兴宝旺房地产开发有限公司,植筋班组
53,上海,3月12日,60-80万/年,上海宝藤生物医药科技股份有限公司,市场拓展总监
54,成都-双流区,3月12日,7-10万/月,成都吉家好家家居有限公司,新媒体分公司总经理（合伙人）
55,上海,3月12日,20-30万/月,上海有云信息技术有限公司,信息安全高级顾问
56,广州,3月12日,80-100万/年,白山人参生命网络科技有限公司,联合创始人
57,惠州,3月12日,70-90万/年,新力惠州城市公司,片区工程副总
58,上海-黄浦区,3月12日,60-100万/年,上海莲平实业有限公司,投资副总裁
59,上海-普陀区,3月12日,10万以上/月,宇培国际控股集团有限公司,首席财务官
60,上海-闵行区,3月12日,30-100万/月,人民电器集团有限公司,人民控股集团——信息部总经理
61,重庆-巴南区,3月12日,4000元/天,万全医药集团,建筑现场管理员
62,深圳-福田区,3月12日,5-7万/月,深圳益民财富管理有限公司,财富事业部总监
63,异地招聘,3月12日,5-8万/月,山东科瑞石油装备有限公司,战略合作部总经理
64,中山,3月12日,5-7万/月,中山百佳妇产医院有限公司,行政人事主管
65,郑州,3月12日,80-100万/年,上海红星美凯龙置业有限公司,项目总（河南）
66,北京-昌平区,3月12日,100万以上/年,上海捞派餐饮管理有限公司,特殊助理（cio）
67,厦门,3月12日,15-25万/月,绿芯半导体（厦门）有限公司,（初高级）固件测试开发(FWQA)工程师
68,深圳,3月12日,80-100万/年,东莞市勤明士照明科技有限公司,外贸副总
69,北京-海淀区,3月12日,60-80万/年,太平人寿保险有限公司北京分公司海...,金领人才工程
70,异地招聘,3月12日,100万以上/年,上海贝乐康足球俱乐部,合伙人
71,异地招聘,3月12日,60-80万/年,广州兆成景置业有限公司,区域拓展总经理
72,佛山,3月12日,100万以上/年,佛山市三八凤凰文化传播有限公司,招募分公司合作伙伴
73,深圳-福田区,3月12日,5-7万/月,深圳市恒明投资发展（集团）有限公司,城市更新总
74,广州-天河区,3月12日,5-7万/月,广东金楼投资有限公司,总经理
75,上海-徐汇区,3月12日,5-7万/月,HYPEREAL,机器学习研究员
76,异地招聘,3月12日,80-100万/年,上海伊捷人力资源有限公司,事业部总经理（药厂信息化）
77,广州-白云区,3月12日,10万以上/月,广州悦开妍化妆品有限公司,招募电商合伙人
78,广州-黄埔区,3月12日,5-7万/月,深圳市宝能投资集团有限公司,设计副总
79,异地招聘,3月12日,60-80万/年,远成物流城集团,集团总裁
80,广州,3月12日,5-7万/月,广州碧软信息科技有限公司,软件外包公司
81,天津,3月12日,80-100万/年,上海红星美凯龙置业有限公司,项目总（河北、天津）
82,上海-浦东新区,3月12日,10万以上/月,Unique Executive Search,营建部总经理
83,安徽省,3月12日,5-7万/月,上海红星美凯龙置业有限公司,项目总（江浙皖）
84,佛山,3月12日,300-1000万/年,宏图瀛通（广州）人力资源有限公司,首席财务官（CFO)
85,广州-天河区,3月12日,5-7万/月,广州无线电集团有限公司,市值管理总监
86,异地招聘,3月12日,5-6万/月,山东十笏园食品有限公司,总裁
87,上海-浦东新区,3月12日,7-10万/月,中金汇理融资租赁有限公司,贸易金融总经理
88,上海-静安区,3月12日,5-10万/月,新新贷（上海）金融信息服务有限公司,信贷端副总裁
89,西安-碑林区,3月12日,10万以上/月,红上财富（上海）投资管理有限公司,财富中心经理
90,合肥-蜀山区,3月12日,5-7万/月,巨汇财富（北京）投资管理有限公司...,高级理财顾问
91,上海-金山区,3月12日,80-100万/年,上海芮远化学科技有限公司,销售合伙人
92,广州-越秀区,3月12日,100万以上/年,广州森美浪贸易有限公司,副总裁
93,广州-天河区,3月12日,5-13万/月,广州市东洲装饰工程有限公司,木门销售从业人员
94,宁波-鄞州区,3月12日,5-7万/月,宁波市鄞州耿帅进出口有限公司,法语销售
95,异地招聘,3月12日,60-80万/年,深圳金辉达企业管理咨询有限公司,品牌服装首席数据官
96,武汉-武昌区,3月12日,60-80万/年,中国建筑第二工程局有限公司,房建类项目安全总监
97,异地招聘,3月12日,80-100万/年,上海科瓦纳企业管理咨询有限公司,冶金研究所所长（年薪大于80万）
98,异地招聘,3月12日,80-100万/年,安徽省文胜生物工程股份有限公司,总经理
99,太仓,3月12日,7-10万/月,太仓市金达机械厂,销售(金溪粉碎设备）
100,郑州-管城回族区,3月12日,100-500万/年,韩城金鸿日用品经销店,创业合伙人，年均100—500万，每年免费海外旅游2-4次
101,潍坊,3月12日,7-10万/月,山东铭拓企业管理咨询有限公司,总裁
102,湖南省,3月12日,60-80万/年,中梁控股集团长株潭区域公司,事业部总经理
103,上海,3月12日,5-6万/月,上海鸣志电器股份有限公司,贸易事业群总经理
104,嘉兴,3月12日,60-80万/年,永新纺织印染有限公司,总经理
105,深圳-福田区,3月12日,5-10万/月,银河移民,移民业务总经理
106,宁波,3月12日,5-7万/月,宁波市鄞州双维塑胶厂,数控带班师傅
107,江苏省,3月12日,5-7万/月,泰兴市奥新置业有限公司,储备项目营销副总
108,深圳-龙华新区,3月12日,10-20万/月,深圳市创视通电子技术有限公司,俄语销售
109,南京-秦淮区,3月12日,2500元/天,南京好易家网络科技有限公司,APP/微信扫码推广
110,深圳-罗湖区,3月12日,5-7万/月,宝能控股（中国）有限公司总部,资产运营中心副总
