time,duty,sallary,location,name
"无工作经验,大专,招若干人,03-26发布","
 
 
 
 
",,"
 杭州市西湖区文二路",Python算法开发(职位编号：22)
"5-7年经验,本科,招2人,03-26发布","
 
 
 
 
","五险一金,餐饮补贴,专业培训,年终奖金,定期体检,环境好,技术大牛,美女多","
 中国人工智能小镇3幢2层",Python开发工程师
"3-4年经验,大专,招2人,03-26发布","
 
 
 
 
","五险一金,年终奖金,绩效奖金,员工活动","
 文一西路522号西溪科创园1幢3单元3楼",Python开发工程师
"1年经验,招1人,03-26发布","
                     5.有图像分析背景最好。 
 
 
 
","五险一金,餐饮补贴,弹性工作,员工旅游,交通补贴,绩效奖金,年终奖金,定期体检","
 长城街22号212室",Python开发工程师
"无工作经验,大专,招1人,03-26发布","
 
 
 
 
","五险一金,年终奖金,定期体检,弹性工作,绩效奖金,节假日福利,高温补贴,餐饮补贴,专业培训","
 拱墅区远洋国际中心",Python开发工程师
"1年经验,招1人,03-26发布","
 
 
 
 
",,"
 滨江区江虹路611号上峰电商产业园3号楼",Python工程师
"无工作经验,招若干人,03-26发布","
岗位职责： 1.了解前端开发技术，熟悉HTTP协议，TCP/IP，HTML, 了解Ajax, oauth，Ajax, Jquery等，熟悉前后端的交互过程； 2.负责产品需求分析，对产品的原始需求做总结分析，架构设计，原型实现工作； 3.封装、优化系统所需的接口，并撰写相关的技术文档。 任职要求： 1．本科及以上学历，两年以上工作经验，能独立开发 2. 能够熟练使用python进行快速开发，至少掌握一个python web框架的使用（例如flask、tornado、django web）； 3. 熟悉celery、APScheduler定时任务框架 4. 熟悉mysql的用法，了解redis，memcached等缓存的使用 5. 了解html，css的基本用法 6. 熟练掌握nginx，samba，nfs的配置 7. 掌握pycharm、git等工具的使用，能够在linux服务器部署python程序； 8. 熟悉Javascript编程，会使用Vue.js、angularjs者优先 9. 思路清晰，具有较强的学习能力和解决实际问题的能力，对新技术始终保持较高关注度；
 
 
 
","五险一金,绩效奖金,年终奖金,股票期权,餐饮补贴,专业培训","
 杭州西湖区文二路212号高新大厦7F",Python开发工程师
