,duty,location,sallary,time,name
0,语音识别工程师,杭州-江干区,0.6-1万/月,2月9日,杭州华信智原教育科技有限公司
1,机器学习算法工程师,武汉-武昌区,1.5-4万/月,2月9日,武汉掌中宝网络科技有限公司
2,图像处理算法工程师,武汉-洪山区,1-1.5万/月,2月9日,武汉市哈哈便利科技有限公司
3,Python研发工程师(CRM),广州-天河区,0.5-1.2万/月,2月9日,广州市云润大数据服务有限公司
4,高级算法研究员,深圳,4-6万/月,2月8日,深圳和而泰智能控制股份有限公司
5,人工智能/深度学习工程师,泉州,1-1.5万/月,2月8日,黑金刚（福建）自动化科技股份公司
6,售前工程师,深圳,1.5-2万/月,2月4日,东芝信息系统（沈阳）有限公司
7,IT系统工程师,异地招聘,6-8千/月,2月3日,沈阳信商科技有限公司
8,算法工程师,广州-黄埔区,0.8-1万/月,2月2日,广东康云多维视觉智能科技有限公司
9,AI环球工程师,深圳-宝安区,5-6.5千/月,1月25日,深圳市奥维特机电有限公司
10,SMT设备工程师,中山,4.5-6千/月,1月12日,中山市科卓尔电器有限公司
11,AI工程师（创新技术应用部）,上海-浦东新区,1.5-2.5万/月,2月9日,深圳平安综合金融服务有限公司（平...
12,华泰人寿总公司-信息技术部-大数据及AI工程师(003363),北京,6-8千/月,2月8日,华泰保险集团股份有限公司
13,python人工智能+全栈,深圳-南山区,10万以上/月,12月18日,深圳市时代科技发展有限公司
14,IT设计开发工程师,异地招聘,1-1.5万/月,2月7日,上海万谷境外就业服务有限公司
15,AI工程师 - 知识图谱,上海,1.5-3万/月,2月9日,魔方元科技
16,AI工程师,北京-海淀区,2-3万/月,2月7日,启迪科技服务有限公司
17,AI工程师（游戏算法工程师）,异地招聘,2-5万/月,1月23日,广东掌荟网络科技有限公司
18,AI工程师（游戏算法工程师）,广州,2-5万/月,1月23日,广东掌荟网络科技有限公司
19,图像处理算法工程师,武汉-洪山区,0.8-1.5万/月,2月9日,武汉市哈哈便利科技有限公司
20,深度学习图像算法工程师,武汉-洪山区,2-4万/月,2月9日,武汉市哈哈便利科技有限公司
21,研发工程师,广州-天河区,0.8-2万/月,2月9日,广州市云润大数据服务有限公司
22,Hadoop大数据研发工程师,广州,0.8-3万/月,2月9日,广州市云润大数据服务有限公司
23,数据挖掘工程师(实习),广州,4-8千/月,2月9日,广州市云润大数据服务有限公司
