,time,location,duty,sallary,name
0,02-09,鹤壁,自动化生技,6-8千/月,富士康科技集团iPEBG事业群（郑州）
1,02-09,西安,销售代表+高提成+高额奖金+住宿,4.5-7.8千/月,西安甘泉电子科技有限公司
2,02-09,长春-宽城区,童装督导,3-4.5千/月,黑水路批发市场四期皇家勇士童装行
3,02-09,广州,博士/研发总监,30-50万/年,广东合诚环境工程有限公司
4,02-09,苏州-工业园区,业务助理,3-4.5千/月,苏州亿嘉净化工程有限公司
5,02-09,北京-朝阳区,线上班主任,0.8-1.2万/月,小叶子（北京）科技有限公司
6,02-09,异地招聘,2018应届生,4.5-6千/月,江苏久吾高科技股份有限公司
7,02-09,武汉-洪山区,市场/营销专员,2-3千/月,湖北润达税务师事务所有限责任公司
8,02-09,异地招聘,招聘FAE,1-1.5万/月,广州聚焦网络技术有限公司东莞分公司
9,02-09,武汉-江岸区,文化历史研究员,6-8千/月,广州博为城市规划设计有限公司
10,02-09,宁波,销售代表（医学营养）,4.5-6千/月,浙江核力欣健药业有限公司
11,02-09,广州-黄埔区,安全员,4.5-5.5千/月,广州易置实业有限公司
12,02-09,异地招聘,销售经理,3-4.5千/月,宁波和平鸽口腔医疗器材有限公司
13,02-09,哈尔滨-道里区,粥佳粥铺 计时工,2-3千/月,前程无忧代招聘
14,02-09,嘉兴,计算机管理岗,5-8万/年,浙江泰隆商业银行股份有限公司嘉兴...
15,02-09,深圳-龙岗区,合同物流销售主管,0.8-1.5万/月,乾龙物流集团有限公司
16,02-09,青岛-黄岛区,物业工程主管,3-4.5千/月,青岛锦景昌物业管理有限公司第一分...
17,02-09,苏州-工业园区,法务专员,0.6-1.2万/月,苏州思必驰信息科技有限公司
18,02-09,昆山,QE,4.5-6千/月,华天科技（昆山）电子有限公司
19,02-09,杭州-余杭区,财务助理,4-6千/月,浙江中智机器人股份有限公司
20,02-09,深圳-南山区,Java高级开发工程师,1.5-2万/月,西金网络科技（深圳）有限公司
21,02-09,重庆-渝北区,业务员,6-8千/月,重庆信宽会计服务有限责任公司
22,02-09,苏州,财务分析主管,6-8千/月,苏州合展设计营造股份有限公司
23,02-09,大连-金州区,礼宾员,2-3千/月,大连鲁能置业有限公司希尔顿酒店分...
24,02-09,深圳-宝安区,急招外贸业务员,3.5-6千/月,深圳市乐彩隽利电子有限公司
25,02-09,苏州,机电工程师/主管/经理,20-30万/年,远洋地产苏州公司
26,02-09,重庆-南岸区,精装主管（万房通设计师）,0.8-1万/月,重庆智安信置业顾问有限公司
27,02-09,上海-静安区,三维设计师3D Designer,6-8千/月,上海三欣广告装潢有限公司
28,02-09,合肥-庐阳区,优胜教育市场专员,0.8-1万/月,优胜教育合肥分公司
29,02-09,西安-曲江文化...,首席设计师,0.7-1万/月,陕西善也建筑景观设计有限公司
30,02-09,深圳,资金总监,3-4万/月,深圳中青宝互动网络股份有限公司
31,02-09,北京,销售代表,4.5-6千/月,正大食品企业（上海）有限公司北京...
32,02-09,北京,文案策划（气血固本）,6-8千/月,内蒙古鸿茅国药股份有限公司
33,02-09,济南,资深课程顾问 （五险一金，双休）,0.8-1万/月,高顿财经济南分校
34,02-09,广州-天河区,运营管理助理,6-8千/月,广州聚泰实业有限公司
35,02-09,武汉-江夏区,行政助理（日语）,5-6千/月,骏河精机科技（上海）有限公司
36,02-09,长春-南关区,医疗器械技术经理,3-4.5千/月,吉林省都邦药业股份有限公司
37,02-09,东莞,康体活动主管,6-8千/月,东莞市慕思寝室用品有限公司
38,02-09,湖州,文案策划经理,15-20万/年,花漾年华生态城镇发展（湖州）有限...
39,02-09,重庆-渝北区,网络电销主管,1-1.5万/月,重庆华宇集团有限公司
40,02-09,焦作,审计专员,3.5-7千/月,焦作隆丰皮草企业有限公司
41,02-09,上海-普陀区,District Manager - License,1.5-3万/月,Ashley爱室丽家居
42,02-09,上海-普陀区,销售工程师,5-7千/月,易批生鲜信息发展股份有限公司
43,02-09,北京-朝阳区,人才配置主任,6-8千/月,深圳前海普卓生活科技有限公司
44,02-09,深圳-龙岗区,机械工程师,0.8-1万/月,兴鼎工程（深圳）有限公司
45,02-09,深圳-南山区,主办会计,1-2万/月,深圳泰沃绿色能源发展有限公司
46,02-09,北京-朝阳区,销售分析运营专员,1-1.5万/月,万国数据服务有限公司
47,02-09,上海-闵行区,B2B电商分销主管,0.8-1.3万/月,岩脉（上海）网络科技有限公司
48,02-09,深圳-福田区,应用商店优化师（可18年应届毕业生）,0.8-1万/月,北京亿万无线信息技术有限公司
49,02-09,无锡-惠山区,软/硬件测试工程师,0.5-1万/月,江苏伟博动力技术有限公司
50,02-09,上海-杨浦区,租赁办公室（五角场）,4-8千/月,深圳市创富港商务服务股份有限公司...
51,02-09,南京-鼓楼区,人事专员,4.5-6千/月,南京银城物业服务有限公司
52,02-09,武汉,售后经理,1-1.5万/月,武汉市富鑫汽车销售服务有限公司
53,02-09,汕头,家用中央空调销售工程师/渠道销售工程师,,大金（中国）投资有限公司广州分公司
54,02-09,嘉兴,韩语翻译,8-10万/年,浙江小雅儿童时尚生活有限公司
55,02-09,青岛-黄岛区,外检兼质改主管,5-5.4千/月,澳柯玛股份有限公司
56,02-09,北京-海淀区,急聘运营主管（数据分析）,0.8-1万/月,中驰车福电子商务有限公司
57,02-09,长沙-岳麓区,岳麓区（光大银行/电话客服/包住）协助银行柜员/名企x,6-8千/月,深圳艾特英才企业管理有限公司
58,02-09,深圳-龙岗区,英文编辑,4-8千/月,深圳市糖泡泡商贸有限公司
59,02-09,沈阳-和平区,行业销售经理,0.8-1万/月,沈阳万众合汇科技有限公司
60,02-09,武汉-洪山区,总经理助理,6-8千/月,武汉菲仕运动控制系统有限公司
61,02-09,重庆-渝北区,出纳,3.5-4.5千/月,西泽投资股份有限公司
62,02-09,深圳-南山区,食品采购专员,0.6-1万/月,BUYDEEM北鼎科技
63,02-09,上海-普陀区,培训经理,1-1.5万/月,上海诺互汽车服务有限公司
64,02-09,深圳,锻炼提升自己+乐有家大学生基地,0.8-1万/月,深圳市乐有家房产交易有限公司
65,02-09,异地招聘,物业管理经理,6-8千/月,临高恒泰房地产开发有限责任公司
66,02-09,太原,区域总经理（山西片区）,3-4万/月,四川瑞慈医疗科技有限公司
67,02-09,南通,中信信用卡客户经理,0.4-1.5万/月,中信银行股份有限公司信用卡中心南...
68,02-09,北京-海淀区,数值策划,1.2-1.5万/月,北京奇客创想科技股份有限公司
69,02-09,北京-朝阳区,总监助理/秘书,1-1.5万/月,北京互连众信科技有限公司
70,02-09,佛山,客服专员,2.5-4千/月,佛山市斯加文化传播有限公司
71,02-09,上海-虹口区,优秀外贸业务员,0.8-1万/月,赛诺韦尔实业（上海）有限公司
72,02-09,重庆-渝北区,电话营销+无责任底薪五险,0.5-1万/月,重庆乾玺装饰工程有限公司
73,02-09,杭州,机械绘图员,5-7千/月,杭州科百特过滤器材有限公司
