,duty,sallary,name,time,location
0,算法工程师,1.2-2.5万/月,广州启帆工业机器人有限公司,2月9日,广州-黄埔区
1,算法工程师（热））,10-20万/年,杭州易泰达科技有限公司,2月9日,杭州
2,BMS算法工程师,1-2万/月,深圳众城卓越科技有限公司,2月9日,深圳-宝安区
3,自动化视觉算法工程师,12-30万/年,昆山希盟自动化科技有限公司,2月9日,昆山
4,图像算法工程师,0.8-1万/月,长沙慧联智能科技有限公司,2月9日,长沙
5,算法工程师（机器学习/深度学习方向）,1-2万/月,观澜网络(杭州)有限公司--丁香园,2月9日,杭州
6,控制算法工程师,1.5-2万/月,杭州瓦屋科技有限公司,2月9日,杭州-滨江区
7,视觉算法工程师,0.8-2.5万/月,苏州晟成光伏设备有限公司,2月9日,苏州-高新区
8,视频图像算法工程师,0.8-1.5万/月,江苏爱迈普信息科技有限公司,2月9日,南京
9,机器视觉/深度学习算法工程师,0.6-1.2万/月,柳州康云互联科技有限公司,2月9日,异地招聘
10,SLAM算法工程师,1.5-3万/月,深圳市中天安驰有限责任公司,2月9日,深圳-南山区
11,机器学习算法工程师,1.5-2.5万/月,成都积微物联集团股份有限公司,2月9日,成都-高新区
12,算法工程师（NLP),2-4万/月,有米科技股份有限公司,2月9日,广州-番禺区
13,机器学习算法工程师,3-4万/月,广州虎牙信息科技有限公司,2月9日,广州-番禺区
14,图形/图像算法工程师,1-1.5万/月,青岛达芬奇科技有限公司,2月9日,青岛
15,高级算法工程师,1.5-2万/月,深圳市菲尼的科技有限公司,2月9日,深圳-光明新区
16,图像处理算法工程师,7-9千/月,合肥芯碁微电子装备有限公司,2月9日,合肥-高新区
17,图像算法工程师,2-3万/月,北京康诚尚德通信技术有限公司,2月9日,北京-朝阳区
18,算法工程师,1.3-2.6万/月,上海七牛信息技术有限公司,2月9日,上海-浦东新区
19,3D几何算法工程师（偏数学方向）,1-3万/月,深圳晗竣雅科技有限公司,2月9日,深圳
20,高级算法工程师（数据挖掘、数据处理）,0.8-1.5万/月,四川米诺娃妇女儿童医院有限公司,2月9日,成都-武侯区
21,图形图像算法工程师,1.5-3万/月,深圳一起秀科技有限公司,2月9日,深圳
22,算法工程师,1.5-3万/月,顺丰科技有限公司,2月9日,深圳-南山区
23,机器学习算法工程师-深圳-00064,3-3.9万/月,北京优特捷信息技术有限公司,2月9日,异地招聘
24,自动驾驶算法工程师,1.5-2万/月,上海西井信息科技有限公司,2月9日,上海-静安区
25,算法工程师,1-2万/月,北京亚鸿世纪科技发展有限公司,2月9日,武汉-洪山区
26,算法工程师,2-2.5万/月,东莞市慕思寝室用品有限公司,2月9日,东莞
27,yjy-算法工程师（模式识别）,1.5-2万/月,杭州海康威视数字技术股份有限公司,2月9日,杭州-滨江区
28,算法工程师,1.5-2万/月,江苏慧物数据科技有限公司,2月9日,异地招聘
29,RTK算法工程师,18-26万/年,北极星云空间技术股份有限公司,2月9日,成都-武侯区
30,算法工程师,1.6-2.2万/月,杭州嗨趣网络科技有限公司,2月9日,杭州-余杭区
31,机器学习算法工程师,1.5-3万/月,北京联云天下科技有限公司,2月9日,北京-朝阳区
32,视频图像算法工程师,0.8-1.4万/月,南京鑫和汇通电子科技有限公司,2月9日,南京-浦口区
33,算法工程师,4.5-6千/月,淘车网络科技有限公司,2月9日,上海
34,飞控算法工程师,0.7-1.3万/月,西安太极航空科技有限公司,2月9日,西安
35,音频算法工程师,1.5-2万/月,泰凌微电子（上海）有限公司,2月9日,上海
36,深度学习算法工程师,2.5-5万/月,魔视智能科技（上海）有限公司,2月9日,上海-浦东新区
37,研发软件算法工程师（急招）,1-1.5万/月,南京思能电气有限公司,2月9日,南京-浦口区
38,算法工程师（北京总部）,1-2.5万/月,北京寰宇声望智能科技有限公司,2月9日,北京-海淀区
39,算法工程师,1.5-2万/月,苏州惠生电子科技有限公司,2月9日,苏州-工业园区
40,无线通信算法工程师,,南京芯元通信息技术有限公司,2月9日,南京-浦口区
41,算法工程师,1-1.5万/月,中国船舶重工集团南京鹏力科技集团...,2月9日,异地招聘
42,视觉算法工程师,1.5-2.5万/月,上海爱且普自动化设备有限公司,2月9日,上海-普陀区
43,深度学习研究员/AI算法工程师（NLP）,1-1.5万/月,华服互联网科技（上海）有限公司,2月9日,上海-静安区
