,name,sallary,duty,location,time
0,郑州喔嘟教育科技有限公司,6-8千/月,PHP开发工程师,郑州-金水区,02-09
1,上海国际广告展览有限公司,0.8-1.5万/月,PHP开发工程师,杭州-江干区,02-09
2,杭州联汇科技股份有限公司,1-1.5万/月,PHP开发工程师,杭州-滨江区,02-09
3,海口达内科技有限公司,3-4.5千/月,急聘PHP开发实习助理,海口,02-09
4,上海融果金融信息服务有限公司,1.2-2万/月,PHP高级开发工程师,上海-杨浦区,02-09
5,北京青柠檬科技有限公司,1.5-2万/月,PHP项目讲师,郑州,02-09
6,深圳颐泉网络科技有限公司,1-2万/月,PHP程序员,深圳-龙岗区,02-09
7,广东领尚环球之家商贸发展有限公司,1-1.5万/月,PHP工程师,佛山,02-09
8,南京瑞旭产品技术有限公司,0.8-1万/月,PHP开发工程师,南京,02-09
9,北京众标智能科技有限公司,1-1.5万/月,Python开发工程师,上海-徐汇区,02-09
10,摩诃科技无锡有限公司,4-8千/月,PHP开发工程师,无锡-无锡新区,02-09
11,北京时代一峰信息技术有限公司,0.8-1.5万/月,高级PHP开发工程师,西安-高新技术...,02-09
12,上海汉州互联网金融信息服务有限公司,1-2万/月,PHP后台开发工程师,上海-黄浦区,02-09
13,丽人丽妆,1.5-2万/月,PHP程序工程师,上海-徐汇区,02-09
14,无锡广华科技有限公司,0.8-1万/月,Python开发工程师,无锡-滨湖区,02-09
15,深圳开黑科技有限公司,1.5-2.5万/月,高级Python开发工程师,深圳-南山区,02-09
16,北京根网科技有限公司,1-1.8万/月,Python开发工程师,北京,02-09
17,大连焱展信息技术有限公司,3-4.5千/月,PHP实习生,大连-沙河口区,02-09
18,重庆推猫科技有限公司,0.7-1.2万/月,后端程序开发工程师PHP,重庆-渝北区,02-09
19,北京易二零环境股份有限公司,1-1.5万/月,PHP程序员,北京,02-09
20,郴州七啸网络科技有限公司,0.8-2万/月,PHP开发工程师,武汉-武昌区,02-09
21,北京爱美商通资讯科技有限公司,1.5-2.5万/月,PHP工程师,北京-大兴区,02-09
22,青岛格鲁津商贸有限公司,0.8-1.2万/月,PHP高级开发工程师,青岛,02-09
23,成都励慧网络科技有限公司,0.8-1.5万/月,Python开发工程师,成都,02-07
24,南京正诺软件技术有限公司,6-8千/月,实习嵌入式/Java/php开发助理,南京-玄武区,02-09
25,无锡超正软件有限公司,0.6-1万/月,Python开发工程师（弹性工作）,成都,02-09
26,好利网,1.5-2.5万/月,Python开发工程师,上海-杨浦区,02-09
27,广州优亿信息科技有限公司,0.5-1万/月,Python开发工程师,长沙,02-09
28,成都优啦信息技术有限公司,1-1.5万/月,Python开发工程师,成都-高新区,02-09
29,南京共捷信息技术有限公司,1-2万/月,PHP高级开发工程师,上海-徐汇区,02-09
30,成都趣乐多科技有限公司,0.8-1.5万/月,运维&python开发工程师（高级）,成都,02-08
31,吉利集团（总部）,0.8-1.5万/月,Python开发工程师,杭州,02-09
32,无锡万讯汇通信息技术有限公司,6-8千/月,PHP开发工程师,无锡-滨湖区,02-09
33,苏州天宫艺品文化传媒有限公司,0.8-1万/月,PHP中级开发工程师,苏州-姑苏区,02-09
34,上海晓信信息科技有限公司,1-1.8万/月,PHP中级开发工程师,上海-普陀区,02-09
35,唐山天啦噜网络科技有限公司,5-8千/月,程序员（PHP工程师）,唐山,02-09
36,南京美莱美容医院有限公司,0.5-1.2万/月,程序员/PHP程序员/微信开发工程师,南京-鼓楼区,02-09
37,雅丽洁集团,0.8-1万/月,php开发工程师,广州-天河区,02-09
38,国旅集团上海有限公司商务会奖部,1-1.5万/月,PHP开发工程师,上海,02-09
39,YOKA时尚网,1-1.8万/月,中级PHP开发工程师,北京,02-09
40,杭州轻触科技有限公司,1-2万/月,Python开发工程师,上海-徐汇区,02-07
41,笨鸟社交,0.8-1.5万/月,Python开发工程师,厦门,02-07
42,数据堂（北京）科技股份有限公司,0.6-1万/月,Python开发工程师,北京-海淀区,02-07
43,上海君众信息科技有限公司,6-9千/月,Python开发工程师,无锡-滨湖区,02-07
44,福建润商网络技术有限公司,0.8-1万/月,PHP主管,福州-鼓楼区,02-09
45,高培（广州）乳业有限公司,4-8千/月,PHP程序员,广州-增城,02-09
46,北京中科建友科技股份有限公司,1-1.5万/月,PHP开发工程师_zml,北京-海淀区,02-09
47,成都新大瀚人力资源管理有限公司,1.5-2.5万/月,高级PHP开发工程师(年后面试）,杭州-拱墅区,02-09
48,广州毕方信息科技有限公司,4.5-7千/月,PHP,广州-天河区,02-09
49,上海莉莉丝科技股份有限公司,1.5-2万/月,Python开发工程师,上海,02-09
50,徐州友趣网络科技有限公司,0.6-1万/月,Python开发工程师,南京-雨花台区,02-09
51,上海博达数据通信有限公司,8-10万/年,Python开发工程师,异地招聘,02-09
52,广东唯一网络科技有限公司,0.8-1.2万/月,PHP开发工程师,东莞,02-09
53,广州无邪生物科技有限公司,0.8-1.3万/月,高级PHP开发工程师,广州-荔湾区,02-09
54,合肥金而惠信息科技有限公司,3-4.5千/月,PHP工程师助理程序员,合肥,02-09
55,武汉微思敦网络技术有限公司,2-3万/月,高级Python开发工程师（深圳）,深圳-南山区,02-08
56,长沙聚簇云网络科技有限公司,0.5-1万/月,Python开发工程师,长沙-岳麓区,02-09
57,山东海颐数字技术有限公司,6-8千/月,Python开发工程师,济南,02-09
58,索菲亚家居股份有限公司,6-8千/月,PHP开发工程师,广州-天河区,02-09
59,北京世名博星科技发展有限公司,4-7.9千/月,PHP开发工程师,大连-高新园区,02-09
60,杭州图华科技有限公司,0.5-1.2万/月,PHP开发工程师,沈阳-铁西区,02-09
61,南京易睿网络科技有限公司,0.8-1.4万/月,PHP开发工程师（五险一金、丰厚奖金）,南京-建邺区,02-09
62,苏州衣香云企业管理咨询有限公司,6-8千/月,PHP开发工程师,苏州-工业园区,02-09
63,广州先迈商贸有限公司,1-2万/月,PHP高级/技术主管+双休+午餐,广州-天河区,02-09
64,河南赛乐金网络科技有限公司,6-7千/月,商城建设PHP工程师,郑州,02-09
65,山东桥通天下网络科技有限公司,6-8千/月,PHP高级开发工程师,济南,02-09
66,上海快屏网络科技有限公司,1-1.5万/月,Python开发工程师,上海-浦东新区,02-09
67,安徽丽鑫智能科技有限公司,1-1.5万/月,python开发工程师  薪资10000以上,合肥-庐阳区,02-07
68,深圳市合元科技有限公司,1-1.5万/月,Python开发工程师,深圳-宝安区,02-07
69,深圳市腾讯计算机系统有限公司,,15575-王者荣耀社交产品python开发工程师,成都,02-07
70,武汉白虹软件科技有限公司,0.8-1.3万/月,PHP中级开发工程师,武汉,02-09
71,湖南同飞电力调度信息有限责任公司,10-15万/年,PHP高级开发工程师,长沙-天心区,02-09
72,佛山市陈村花卉世界信息科技有限公司,4.5-6千/月,PHP高级程序员,佛山,02-09
73,北京腾信软创科技股份有限公司,6-8千/月,Python开发工程师,北京-海淀区,02-09
74,广州爱拍网络科技有限公司,0.7-1.2万/月,QT/Python开发工程师,广州,02-09
75,广州市汇美时尚集团股份有限公司,1-1.5万/月,Python开发工程师,广州,02-09
76,杭州盈穗软件科技有限公司,1-1.5万/月,PHP开发工程师,广州,02-09
77,深圳市睿联数字技术有限公司,1-1.5万/月,PHP工程师,深圳-南山区,02-09
78,武汉安敏信诚科技有限公司,1.2-2万/月,PHP开发工程师,武汉-洪山区,02-09
79,任子行网络技术股份有限公司,0.6-1.2万/月,python开发工程师,武汉-洪山区,02-08
80,360金融,2-3万/月,Python开发工程师,北京-朝阳区,02-08
