,name,sallary,duty,time,location
0,重庆维普资讯有限公司,2-2.5万/月,自然语言(NLP)算法工程师,2月9日,重庆-渝北区
1,北京金山办公软件股份有限公司,1.5-3万/月,自然语言处理工程师/NLP工程师,2月9日,武汉
2,第道南京信息技术有限公司,0.8-1万/月,自然语言处理工程师,2月9日,南京-秦淮区
3,南京擎盾信息科技有限公司,1.5-2万/月,机器学习&自然语言处理研发工程师,2月9日,南京
4,贵州高新翼云科技有限公司,0.6-1.5万/月,自然语言处理工程师,2月9日,贵阳
5,深圳百诺国际生命科技有限公司,40-80万/月,机器学习、人工智能科学家,2月9日,深圳-南山区
6,广州棒谷科技股份有限公司,1-2.5万/月,自然语言处理工程师--大数据,2月9日,广州-白云区
7,长沙阡寻信息科技有限公司,0.8-2.5万/月,自然语言研发工程师,2月9日,长沙-岳麓区
8,上海百业并购信息技术股份有限公司,8-18万/年,NLP 自然语言处理工程师,2月9日,上海-浦东新区
9,上海雅捷信息技术股份有限公司,8-10万/年,自然语言处理算法工程师,2月9日,合肥-蜀山区
10,成都橙视传媒科技股份公司,0.6-1.2万/月,自然语言处理工程师,2月9日,成都
11,深圳市引导美电子商务有限公司,1.5-3万/月,自然语言处理工程师（小灵猫）,2月9日,深圳-福田区
12,广州市申迪计算机系统有限公司,1-2万/月,自然语言处理工程师,2月9日,广州-越秀区
13,广州优亿信息科技有限公司,1-2万/月,机器学习工程师,2月9日,广州
14,竹间智能科技（上海）有限公司,5-6千/月,机器学习（实习生）,2月9日,北京
15,武汉幻视智能科技有限公司,1-2万/月,机器学习算法工程师,2月9日,武汉-洪山区
16,北京睿科伦智能科技有限公司,1.5-2万/月,机器学习工程师,2月9日,上海-徐汇区
17,瀚思安信（北京）软件技术有限公司,1.5-3万/月,机器学习算法研究员,2月9日,成都-高新区
18,汽车之家,2.5-3万/月,自然语言处理工程师,2月9日,北京-海淀区
19,北京捷通华声科技股份有限公司,3-6万/月,自然语言处理算法专家（NLP）,2月9日,北京
20,深圳市思迪信息技术股份有限公司,2-3.5万/月,技术研究-自然语言处理,2月7日,深圳-南山区
21,东航金控有限责任公司,1-3万/月,自然语言处理工程师,2月1日,上海
22,武汉掌中宝网络科技有限公司,1.5-4万/月,机器学习算法工程师,2月9日,武汉-武昌区
23,厦门市直播吧信息技术有限公司,1.5-2万/月,机器学习算法工程师,2月9日,厦门
24,广州汇电云联互联网科技有限公司,1.5-2万/月,机器学习工程师,2月9日,广州-天河区
25,方正璞华软件（武汉）股份有限公司,1-2万/月,机器学习工程师,2月9日,武汉-洪山区
26,曼威信息技术（上海）有限公司,1.5-2.5万/月,机器学习-图像处理,2月9日,上海-徐汇区
27,上海勃池信息技术有限公司,1.5-2.5万/月,机器学习算法工程师,2月9日,上海-杨浦区
28,上海恒格信息科技有限公司,1.1-2万/月,数据分析师-机器学习方向,2月9日,上海
29,深圳市爱智慧科技有限公司,1-2万/月,机器学习算法工程师,2月9日,深圳-龙岗区
30,杭州大搜车汽车服务有限公司,2-3千/月,机器学习算法实习生,2月9日,杭州-余杭区
31,北京北大方正电子有限公司,1.5-2万/月,自然语言处理工程师J11119,2月9日,北京-海淀区
32,中标软件有限公司,1.5-2.5万/月,自然语言处理工程师,2月9日,上海-徐汇区
33,万得信息技术股份有限公司（Wind资...,30-60万/年,自然语言处理资深研究员,2月9日,上海-浦东新区
34,东华软件股份公司,,自然语言处理,2月9日,武汉
35,网易集团,4-5万/月,自然语言处理-杭州研究院748,2月9日,杭州
36,深圳酷旗互联网有限公司,1-2万/月,NLP研发工程师,2月9日,深圳-南山区
37,上海思贤信息技术股份有限公司,2-4万/月,自然语言处理/NLP 算法工程师,2月7日,上海-徐汇区
38,普强信息技术（北京）有限公司,1-1.5万/月,自然语言处理工程师,2月7日,北京-海淀区
39,四川鱼鳞图信息技术股份有限公司,0.6-1.2万/月,自然语言处理工程师,2月7日,成都-金牛区
40,杭州海康威视数字技术股份有限公司,25-60万/年,YJY-算法工程师(自然语言处理),2月7日,杭州-滨江区
41,南京通达海信息技术有限公司,2-2.5万/月,自然语言处理工程师,2月1日,南京-鼓楼区
42,深圳碳云智能科技有限公司,1.2-3万/月,数据分析工程师（自然语言方向）,1月31日,深圳-南山区
43,上海互问信息科技有限公司,1-2万/月,自然语言处理工程师,1月31日,上海-浦东新区
44,广州市伟宏计算机科技有限公司,1.5-2万/月,自然语言处理技术专家,1月31日,广州-天河区
45,广州聚焦网络技术有限公司,1-2万/月,自然语言处理工程师,1月31日,广州
46,北京懂球帝科技有限公司,1.5-2万/月,自然语言处理工程师,1月31日,北京-海淀区
47,武汉盈力科技股份有限公司,1-1.5万/月,算法工程师（机器学习方向）,2月9日,武汉
48,广州荔支网络技术有限公司,1.7-3.4万/月,机器学习工程师,2月9日,异地招聘
49,重庆小康工业集团股份有限公司,1-4万/月,机器学习工程师,2月9日,北京-海淀区
50,北京芯盾时代科技有限公司,1.8-3万/月,反欺诈机器学习专家,2月9日,北京
51,交银企业管理服务（上海）有限公司...,20-40万/年,机器学习工程师,1月23日,上海-长宁区
52,南京小森纸制品有限公司,3-5万/月,机器学习工程师,2月7日,异地招聘
53,阿里巴巴集团,,安全部-算法(自然语言方向)专家,2月9日,杭州
54,北京方正阿帕比技术有限公司,1.5-2万/月,自然语言处理高级开发工程师,2月9日,北京
55,同方赛威讯信息技术有限公司,1-2万/月,自然语言处理工程师,1月5日,成都
56,南京维数软件股份有限公司,0.8-1.2万/月,搜索引擎开发工程师——产品研发部招聘,2月9日,南京-鼓楼区
57,成都智库二八六一信息技术有限公司,0.8-1.5万/月,算法工程师,2月9日,成都-高新区
58,卫盈联信息技术（深圳）有限公司,1-3万/月,数据科学（建模方向）,2月9日,深圳-南山区
59,税友软件集团股份有限公司,1.3-3万/月,算法工程师-机器学习,2月2日,杭州-滨江区
60,和美（深圳）信息技术股份有限公司,2.5-3万/月,自然语言处理工程师,2月7日,深圳-南山区
61,深圳市优必选科技有限公司,2.5-5万/月,自然语言处理高级开发工程师,1月31日,深圳-南山区
62,聚信立,6-8千/月,机器学习系统实习工程师,2月9日,上海-徐汇区
63,中移（苏州）软件技术有限公司,1.5-2万/月,机器学习算法研发工程师(J10234),2月9日,苏州
64,北京清博大数据科技有限公司,0.8-1.6万/月,机器学习工程师,1月23日,合肥
65,杭州中庸汽车服务有限公司,1.5-2万/月,机器学习/人工智能专家,1月23日,杭州-萧山区
66,北京搜狗科技发展有限公司,3-5万/月,智能问答-机器学习研究员-北京-02322,2月7日,北京-海淀区
67,广州小鹏汽车科技有限公司,1.3-2.6万/月,自然语言处理(NLP)高级工程师,2月8日,广州
68,百度在线网络技术（北京）有限公司,2-2.5万/月,自然语言处理部_高级运营师,2月8日,北京-海淀区
69,武汉光合及目科技有限公司,30-40万/年,自然语言处理工程师,1月4日,北京-东城区
70,浙江优正网络科技有限公司,1-1.4万/月,爬虫开发工程师,2月9日,南京-雨花台区
71,上海银科创展投资集团有限公司,3-5万/月,机器学习专家,2月2日,上海-浦东新区
72,苏州驰声信息科技有限公司,1.2-2.2万/月,语音工程师/模式识别/自然语言处理工程师,2月7日,苏州
73,深圳市鑫益嘉科技股份有限公司,1-3万/月,自然语言处理算法工程师,1月31日,深圳-宝安区
74,重庆易宠科技有限公司,2-4万/月,机器学习工程师（AI）,2月9日,重庆-渝北区
75,山东创恒科技发展有限公司,6-8千/月,机器学习与优化控制实习,2月9日,济南
76,深圳中兴网信科技有限公司,1.5-2万/月,机器学习开发工程师（熟悉python者优先）,1月22日,深圳-南山区
77,深圳市蓝泰源信息技术股份有限公司,1-1.5万/月,机器学习工程师,2月7日,武汉-洪山区
78,浙江远传信息技术股份有限公司,1.5-2万/月,资深NLP自然语言处理算法工程师,2月8日,杭州-滨江区
79,上海乐九医疗科技有限公司,1-2.5万/月,NLP工程师/自然语言处理,1月2日,上海-徐汇区
80,南京阿凡达机器人科技有限公司,1-2万/月,算法工程师（机器学习方向）,2月9日,南京-雨花台区
81,中国司法大数据研究院有限公司,1.5-2万/月,机器学习工程师,2月2日,北京-海淀区
82,北京一览科技有限公司,0.8-1万/月,自然语言处理工程师,2月7日,北京-朝阳区
83,深圳市博乐信息科技有限公司,40-50万/年,自然语言处理工程师,1月30日,深圳
84,杭州量知数据科技有限公司,1-2万/月,自然语言处理工程师,1月30日,杭州-西湖区
85,广州尚宸企业管理顾问有限公司,10万以上/月,自然语言处理工程师,1月30日,广州
86,深圳市云之梦科技有限公司,1-2万/月,算法工程师（机器学习）,2月9日,深圳-南山区
87,云积分科技有限公司,2-5万/月,数据科学家（机器学习 算法研发 数据挖掘）,2月9日,深圳-南山区
88,上海森亿医疗科技有限公司,1.5-3万/月,机器学习工程师,2月9日,上海-浦东新区
89,韩领网络科技（上海）有限公司,2-3.8万/月,机器学习算法工程师,2月8日,上海-浦东新区
90,江苏欣网视讯软件技术有限公司,0.8-1万/月,深度学习/机器学习工程师,2月8日,南京-秦淮区
91,上海容大教育培训有限公司,2-3万/月,Python机器学习***讲师,2月8日,上海-普陀区
92,杭州魔蝎数据科技有限公司,1-2万/月,机器学习工程师  月薪10-20K+14薪起+期权+不定时团建,1月22日,杭州
