sallary,location,duty,name,time
60-80万/年,上海-虹口区,Technology Lead China,奥信常客策划顾问（上海）有限公司,02-09
60-80万/年,上海-黄浦区,工程总经理,上海城市地产控股有限公司,02-09
60-80万/年,上海,Senior Cloud Specialist / BDM,Orange Business Services,02-09
5-7万/月,上海,软装设计师,上海赫乐建筑设计有限公司,02-09
5-7万/月,北京,副总裁/高级副总裁,北京轩昂环保科技股份有限公司,02-09
10万以上/月,杭州,销售积累财富/协助住宿+五险一金+400元话补,杭州豪世华邦,02-09
30-40万/月,深圳,流程管理总监,华大基因,02-09
10万以上/月,上海,私人理财工作室,宜投基金销售有限公司,02-09
100万以上/年,济南-历下区,移民留学合伙人,山东美侨信息咨询有限公司,02-09
8-18万/月,宁波-海曙区,家居设计师主管,宁波博洋家纺有限公司,02-09
60-120万/年,上海-浦东新区,人事总经理（CHO）,万宝盛华企业管理咨询（上海）有限...,02-09
60-100万/年,广州-白云区,首席运营官COO,广东康之家云健康医药股份有限公司,02-09
80-100万/年,杭州-江干区,首席内容营销官,杭州维欧艾丝绸股份有限公司,02-09
5-7万/月,上海-闵行区,信息化总监,上海众龙实业有限公司,02-09
5-7万/月,成都,收并购中心负责人,成都中梁置业有限公司,02-09
5-7万/月,上海,Senior Actuary,美亚财产保险有限公司,02-09
5-7万/月,上海-徐汇区,（lis云&体检云）研发总监,上海云济信息科技有限公司,02-09
5-15万/月,上海-闵行区,高级催收,曦中（香港）国际信用征信有限公司,02-09
5-7万/月,台湾,DESKTOP SUPPORT ENGINEER,艾湃苛斯（上海）企业管理有限公司,02-09
60-80万/年,异地招聘,研究总监,上海萃荟企业管理咨询有限公司,02-09
6-12万/月,杭州,量化研究员,国海良时期货有限公司,02-09
5-8万/月,异地招聘,首席医学官,上海宝藤生物医药科技股份有限公司,02-09
5-7万/月,北京-海淀区,crm合伙人 crm股东 crm开发工程师,北京华琪软通技术有限公司,02-09
20-40万/月,深圳-龙岗区,品牌策划经理,深圳市美美哒生物科技有限公司,02-09
5-7万/月,异地招聘,业务咨询总监,赞同科技股份有限公司,02-09
5-7万/月,常州,质量品质保证专员,阿贝（武进）电子有限公司,02-09
80-100万/年,异地招聘,项目/区域负责人,千世界（成都）房地产经纪有限公司,02-09
4000元/天,重庆-巴南区,建筑现场管理员,万全医药集团,02-09
5-7万/月,南充,南充公司总经理,成都融创泽辉房地产开发有限公司,02-09
100万以上/年,杭州,首席技术官,商盟商务服务有限公司,02-09
60-200万/年,珠海,营销副总,珠海市卡索发展有限公司,02-09
5-8万/月,东莞,营销VP,奥海集团,02-09
10-20万/月,杭州-下城区,商务拓展经理,浙江融创信息产业有限公司,02-09
300元/小时,上海-黄浦区,急招新人新面孔服装平面拍摄可微胖大龄,厦门睿火文化传媒有限公司,02-09
60-80万/年,上海,財務資訊總監,上海麦坚时投资管理有限公司,02-09
10万以上/月,上海-浦东新区,战略规划经理,上海乐赚互联网金融信息服务有限公司,02-09
7-10万/月,上海-静安区,工程建设事业部总经理,上海秦森园林股份有限公司,02-09
10万以上/月,广州-白云区,项目合作伙伴,肇庆美康卫浴有限公司,02-09
5-7万/月,昆山,冲压主管,昆山品越精密模具有限公司,02-09
60-80万/年,苏州-工业园区,移民总监,江苏省金阳光出国服务中心有限公司...,02-09
60-80万/年,武汉-江岸区,武汉产业服务公司总经理,华夏幸福基业股份有限公司,02-09
100万以上/年,深圳,房地产公司总经理,某知名房地产投资综合性企业,02-09
60-80万/年,深圳-福田区,投资总监,深圳市值尚互动科技有限公司,02-09
5-7万/月,上海-浦东新区,美容皮肤科医师,上海奇致芊晶医院管理有限公司,02-09
200-400万/年,广州-天河区,事业部副总裁,广东黄金铺集团有限公司,02-09
100万以上/年,合肥,***销售,安徽左右智能科技发展有限公司,02-09
10万以上/月,合肥,总审,安徽蒙建城乡规划建筑设计有限公司...,02-09
30-40万/月,福州-鼓楼区,知名医药外企招聘,广州市阅才人力资源服务有限公司,02-09
60-80万/年,成都,总经理（文化公司）,成都金林嘉华置业投资有限公司,02-09
5-7万/月,无锡,常务副院长,凯宜医疗和凯健养老,02-09
6-12万/月,北京-朝阳区,驻外财务总监,北京飞客互联科技发展有限公司,02-09
5-7万/月,上海,人力资源部总监,上海泰近企业服务外包有限公司,02-09
100万以上/年,广东省,"Operation Head,China",上海瀚盈企业管理有限公司,02-09
5-7万/月,北京-海淀区,新商业总经理,铭泰投资发展集团有限公司,02-09
20-30万/月,北京,移民经理,津桥国际教育集团,02-09
5-7万/月,北京-朝阳区,财务总监,上海尚地工程技术有限公司,02-09
80-100万/年,深圳-南山区,区块链CTO,新动集团有限公司,02-09
10万以上/月,上海,National SeniorTransportation Manager,上海一海国际货运代理有限公司,02-09
60-80万/年,北京-丰台区,副总经理,北京思睿网信科技有限公司,02-09
5-7万/月,淮南,行政人事经理,合肥汉邦希瑞护理用品有限公司,02-09
6-8万/月,天津-河东区,燃气电厂运行经理（GE 6B机组）,天津中海林石油工程技术服务有限公司,02-09
40-80万/月,上海-杨浦区,首席财务官CFO,可力梅塔集团,02-09
5-7万/月,西安,陕西省机构负责人,北京恒荣汇彬保险代理股份有限公司,02-09
5-7万/月,异地招聘,快销总经理（急猎纸尿裤行业）,广州卓源人力资源服务有限公司,02-09
7-10万/月,北京,投资业务负责人,深圳市前海诚帮金融服务有限公司,02-09
5-7万/月,上海-浦东新区,投行副总裁,上海伯仲联行企业管理有限公司,02-09
500元/小时,北京-海淀区,高中地理老师,北京金航晨教育科技有限公司,02-09
7-10万/月,南京,怡口净水暖通中央空调渠道开拓经理,南京格新电器有限公司,02-09
60-80万/年,上海,广告客户总监/副总监,上海恒光广告有限公司,02-09
5-7万/月,上海,研究总监（4A/直客）,上海天会皓闻信息科技有限公司,02-09
5-7万/月,重庆,商业运营副总经理,重庆华南城有限公司,02-09
100万以上/年,苏州,国金财富 - 私人银行行长（苏州）,上海国金理益财富基金销售有限公司,02-09
100万以上/年,青岛,网络运营总监,青岛萨亚姆商贸有限公司,02-09
80-100万/年,异地招聘,副总经理-工程（中山）J10783,新力地产(中山分公司),02-09
5-7万/月,福州,骁龙货运,福州天瑞人力资源有限公司,02-09
80-100万/年,异地招聘,城市合伙人,上海华诚有色金属电子市场管理有限...,02-09
80-100万/年,潍坊,压力容器生产制作管理,潍坊市润捷轻工环保科技有限公司,02-09
5-7万/月,上海-浦东新区,Head of Generals Compliance,大华银行（中国）有限公司,02-09
60-150万/年,郑州,自动驾驶首席工程师,郑州宇通客车股份有限公司,02-09
7-10万/月,嘉兴,高分子工程师,嘉兴市盛央电气有限公司,02-09
