movieInfo,intro,url,title,star,quote
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...;1994 / 美国 / 犯罪剧情;;,"
                                　　20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 Morgan Freeman 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……
                                    ",https://movie.douban.com/subject/1292052/,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),9,希望让人自由。
导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...;2001 / 日本 / 剧情动画奇幻;;,,https://movie.douban.com/subject/1291561/,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,9,最好的宫崎骏，最好的久石让。 
导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...;1997 / 意大利 / 剧情喜剧爱情战争;;,,https://movie.douban.com/subject/1292063/,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,9,最美的谎言。
导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise;1994 / 美国 / 剧情爱情;;,,https://movie.douban.com/subject/1292720/,阿甘正传 / Forrest Gump / 福雷斯特·冈普,9,一部美国近现代史。
导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...;1994 / 法国 / 剧情动作犯罪;;,,https://movie.douban.com/subject/1295644/,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),9,怪蜀黍和小萝莉不得不说的故事。
导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...;1993 / 中国大陆香港 / 剧情爱情同性;;,,https://movie.douban.com/subject/1291546/,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,9,风华绝代。
导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...;2008 / 美国 / 爱情科幻动画冒险;;,,https://movie.douban.com/subject/2131459/,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),9,小瓦力，大人生。
导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...;2010 / 美国英国 / 剧情科幻悬疑冒险;;,"
                                　　道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔（玛丽昂·歌迪亚 Marion Cotillard 饰）的处处破坏，实际情况远比预想危险得多……
                        ",https://movie.douban.com/subject/3541415/,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),9,诺兰给了我们一场无法盗取的梦。
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...;1993 / 美国 / 剧情历史战争;;,,https://movie.douban.com/subject/1295124/,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,9,拯救一个人，就是拯救整个世界。
导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...;1997 / 美国 / 剧情爱情灾难;;,,https://movie.douban.com/subject/1292722/,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),9,失去的才是永恒的。 
