godComment,user,content
"
有好几个女儿的我，点个赞就跑[呲牙][呲牙][呲牙]
","
满船清梦压星河～
","


一个朋友，跟男友爱情长跑九年，要结婚的时候遭到男方父母的强烈反对，一气之下的她远嫁湖南，生了个女儿后因为感情不和而离婚回来。<br/>回来后发现，那时候最爱的那个男人依然未婚，于是旧情复燃，男的非她不娶，眼看年纪也大了，男方父母不得不妥协同意他们结婚。<br/>幸运的是，她老公很爱她，不介意她结过婚生过孩子。然而，如今生了两个女儿的她，依然还要在婆家的施压下追生儿子，包括前面那个女儿，三胎都是剖腹……<br/>现实就是如此。

"
"
忽悠接着忽悠
","
偷情贼
","


最近手头紧，正好赶上房贷，上班有些心不在焉。<br/>中午老板来视察，似乎是看出我的疑虑便把我叫到了办公室问我是不是最近遇到什么困难让我说出来他听听。<br/>听了老板的话语我心里暗自窃喜，便把我所想之事跟老板讲了一遍，老板听完放下手里的杯子温和的说到：没事的，小伙子，这都是小事不必放在心上别为了这点钱扰乱了你上班的激情，好了，你出去好好工作吧!

"
"
这不好笑，这明显是个弱智。
","
落丶墨
","


我邻居家孩子，去准丈母娘送礼，准丈母娘拉着他手说，留下来吃饭吧。这熊孩子想去网吧打游戏，不想留下，由于丈母娘再三劝留，他只好吸一口气，说“算了，吃一顿就吃一顿吧，反正毒不死我”。然后就没有然后了。

"
"
[诶~]这交易场面怎么有点怪怪的！
","
北暮南辞
","


我的爷爷[大笑][大笑]

"
"
你也拍下一个，说，你个荡妇。于是卒。
","
挖鼻孔的老虎
","


阳台飞来了几只白色的小蝴蝶，其中有一只特别活跃，一会儿跟一只玩，一会儿又飞去找另一只玩。<br/>老婆举起拖鞋“啪”的把它打了下来，对着它说：“你个渣男！”

"
"
要不是她娘家人和婆家人提着刀！我差点就相信了
","
起名这个费劲啊
","


也许，这才是爱情该有的模样吧

"
"
你骂道：别说三十秒，老子三十分钟都硬不起来。。。。[如花][如花][如花]
","
伺候不爽你弄死我
","


周末陪老岳父喝点小酒，突然一哥们来电话，我顺手点了免提。哥们：快出来喝酒！哥几个都在呢！ 我：今天不行，我现在陪岳父吃饭呢。哥们：那你抓紧喝，我三杯白酒，把我岳父放倒了才出来的。你也快点。看着我岳父的脸，我不知道该怎么回了……[生气了][生气了]

"
"
女人又不会做错事！！！这是我老婆亲手拿着棍子告诉我的
","
傻妞也
","


和女朋友互做“你懂我吗”的游戏，出六个题让对方选择。我先做，错了一题，她摇摇头失望地说：“你并不是百分百了解我。”轮到她做，错了三题，然后她再一次摇头，用更伤心的语气说：“你藏得太深了。”

"
"
刚说完。是不是你母后就扯着你爹地的耳朵吼道: 进去做饭，吵什么吵？
","
巾帼英雄小木兰
","


男朋友第一次上我家的时候，我亲自下厨炒了几个菜，男朋友一直赞不绝口，动情的说:真想这辈子都能吃到你做的菜！我爸瞟了一眼淡淡的说:咋滴，想让我闺女侍候你一辈子啊！

"
"
对你侄媳妇来说肯定是亲生的，对你侄子来说那就不一定了
","
一炮定下江山
","


侄媳妇最近生了宝宝，朋友圈发宝宝和侄子合照标题写到：像不像亲生的。<br/>底下侄子回复：TMD这不是像不像是必须是啊！

"
"
有我头发做得好么
","
保罗·乔治
","


年终总结大会的拍照留念环节，公司全体员工排队拍照，攘来攘去谁都不愿意站排头，有人拉着颜值担当——静文的手臂说:“静文，你长得好看，你来站前面。”有人又说:“对啊！你年轻，你长得好看，像你这种年纪又长得好看的都不干我们这行。”

"
"
这话接的真及时！
","
贝妞（聪聪）
","


跟老妈逛街，老妈相中一款套装，非让我试给她看，，我从试衣间出来后，我妈看着我笑不拢嘴“闺女啊，你说你咋长的一点都不随我，丑死啦”<br/>这时售货员过来跟我妈说“阿姨，这是你闺女吧，跟你一模一样。。”<br/>我妈的笑容顿时凝固了。。

"
"
说过多少次了，一定要等我张开嘴
","
以梦为马越骑越傻
","


昨夜做梦，梦到刷牙吐泡沫的时候吐出好多血，然后接着又吐了一口口水，接着准备吐第二口的时候已经迷迷糊糊知道是梦，但是收不住了，只好用力吐了出去，正好吐到了女票脸上。还没等我睁开眼，女票一巴掌就呼到了我脸上，怒吼到，你特么又 射 我脸上了！！！

"
"
[捂脸][捂脸]就这样成功的解决了一桩惊天动地的爱情故事
","
童.趣
","


初中刚毕业，陪哥们去向他远房的姨娘表白，我们仨是同班同学，路上就跟哥们商量，说你们不仅是亲戚，还特么是你长辈，要不让我先试试？<br/>哥们不同意，俩人争执起来竟打了一架，一赌气决定都不去，然后俩人在网吧愉快的玩了一下午游戏。

"
